Date,Year,Month,Region,Product,Channel,Customer_Segment,Units_Sold,Revenue_USD
2023-04-01,2023,4,Europe,Mortgage,Web Platform,SME,80,101743.14
2023-05-01,2023,5,Europe,Mortgage,Mobile App,SME,66,86440.94
2023-06-01,2023,6,Europe,Mortgage,Partner/Broker,Mass Affluent,86,102292.24
2023-07-01,2023,7,Europe,Mortgage,Mobile App,Retail,59,75660.32
2023-08-01,2023,8,Europe,Mortgage,Mobile App,Private/HNW,58,73054.43
2023-09-01,2023,9,Europe,Mortgage,Web Platform,SME,61,75692.87
2023-10-01,2023,10,Europe,Mortgage,Web Platform,Retail,58,72160.03
2023-11-01,2023,11,Europe,Mortgage,Mobile App,SME,65,81526.19
2023-12-01,2023,12,Europe,Mortgage,Mobile App,Retail,54,70354.87
2024-01-01,2024,1,Europe,Mortgage,Partner/Broker,Retail,50,62354.0
2024-02-01,2024,2,Europe,Mortgage,Mobile App,Retail,71,86158.33
2024-03-01,2024,3,Europe,Mortgage,Partner/Broker,SME,61,76295.82
2024-04-01,2024,4,Europe,Mortgage,Mobile App,Mass Affluent,84,99317.63
2024-05-01,2024,5,Europe,Mortgage,Partner/Broker,Mass Affluent,90,113220.56
2024-06-01,2024,6,Europe,Mortgage,Mobile App,Mass Affluent,94,115341.95
2024-07-01,2024,7,Europe,Mortgage,Mobile App,SME,68,91326.01
2024-08-01,2024,8,Europe,Mortgage,Mobile App,Retail,77,100100.36
2024-09-01,2024,9,Europe,Mortgage,Mobile App,Mass Affluent,75,94489.53
2024-10-01,2024,10,Europe,Mortgage,Mobile App,Retail,66,87548.98
2024-11-01,2024,11,Europe,Mortgage,Mobile App,Mass Affluent,67,89988.85
2024-12-01,2024,12,Europe,Mortgage,Mobile App,SME,56,71429.26
2025-01-01,2025,1,Europe,Mortgage,Mobile App,Retail,61,75585.02
2025-02-01,2025,2,Europe,Mortgage,Branch (Assisted),SME,76,101682.04
2025-03-01,2025,3,Europe,Mortgage,Mobile App,SME,67,85396.0
2025-04-01,2025,4,Europe,Mortgage,Web Platform,Retail,90,116058.59
2025-05-01,2025,5,Europe,Mortgage,Branch (Assisted),Private/HNW,99,115381.72
2025-06-01,2025,6,Europe,Mortgage,Mobile App,SME,92,115252.26
2025-07-01,2025,7,Europe,Mortgage,Web Platform,SME,81,102487.98
2025-08-01,2025,8,Europe,Mortgage,Mobile App,Retail,77,98120.13
2025-09-01,2025,9,Europe,Mortgage,Mobile App,SME,69,85049.37
2025-10-01,2025,10,Europe,Mortgage,Web Platform,Retail,74,87611.44
2025-11-01,2025,11,Europe,Mortgage,Mobile App,SME,77,102545.34
2025-12-01,2025,12,Europe,Mortgage,Mobile App,Private/HNW,52,70382.23
2023-01-01,2023,1,Europe,SME Business Loan,Web Platform,Mass Affluent,92,78131.38
2023-02-01,2023,2,Europe,SME Business Loan,Web Platform,Private/HNW,91,79869.36
2023-03-01,2023,3,Europe,SME Business Loan,Mobile App,SME,102,89496.5
2023-04-01,2023,4,Europe,SME Business Loan,Partner/Broker,SME,94,85669.95
2023-05-01,2023,5,Europe,SME Business Loan,Web Platform,Retail,96,85103.93
2023-06-01,2023,6,Europe,SME Business Loan,Mobile App,Retail,87,78055.81
2023-07-01,2023,7,Europe,SME Business Loan,Mobile App,SME,92,82984.98
2023-08-01,2023,8,Europe,SME Business Loan,Mobile App,Mass Affluent,98,81091.19
2023-09-01,2023,9,Europe,SME Business Loan,Branch (Assisted),Retail,88,76120.99
2023-10-01,2023,10,Europe,SME Business Loan,Mobile App,SME,112,105611.18
2023-11-01,2023,11,Europe,SME Business Loan,Mobile App,Retail,101,95767.91
2023-12-01,2023,12,Europe,SME Business Loan,Web Platform,Mass Affluent,95,80613.1
2024-01-01,2024,1,Europe,SME Business Loan,Web Platform,SME,107,97438.03
2024-02-01,2024,2,Europe,SME Business Loan,Web Platform,Retail,104,91298.06
2024-03-01,2024,3,Europe,SME Business Loan,Web Platform,Retail,100,83679.21
2024-04-01,2024,4,Europe,SME Business Loan,Mobile App,Retail,113,104607.87
2024-05-01,2024,5,Europe,SME Business Loan,Branch (Assisted),Retail,103,87227.97
2024-06-01,2024,6,Europe,SME Business Loan,Mobile App,Retail,107,89084.48
2024-07-01,2024,7,Europe,SME Business Loan,Web Platform,Retail,97,90770.36
2024-08-01,2024,8,Europe,SME Business Loan,Web Platform,Retail,114,100152.99
2024-09-01,2024,9,Europe,SME Business Loan,Mobile App,SME,101,89257.92
2024-10-01,2024,10,Europe,SME Business Loan,Mobile App,Retail,108,94934.21
2024-11-01,2024,11,Europe,SME Business Loan,Mobile App,Retail,100,88321.53
2024-12-01,2024,12,Europe,SME Business Loan,Mobile App,Private/HNW,109,95912.05
2025-01-01,2025,1,Europe,SME Business Loan,Partner/Broker,Mass Affluent,107,87376.63
2025-02-01,2025,2,Europe,SME Business Loan,Web Platform,Retail,119,107286.14
2025-03-01,2025,3,Europe,SME Business Loan,Partner/Broker,Retail,105,101626.94
2025-04-01,2025,4,Europe,SME Business Loan,Mobile App,Mass Affluent,100,84800.53
2025-05-01,2025,5,Europe,SME Business Loan,Web Platform,Mass Affluent,111,101566.08
2025-06-01,2025,6,Europe,SME Business Loan,Web Platform,Retail,99,92097.48
2025-07-01,2025,7,Europe,SME Business Loan,Mobile App,SME,135,124120.62
2025-08-01,2025,8,Europe,SME Business Loan,Mobile App,SME,142,127481.29
2025-09-01,2025,9,Europe,SME Business Loan,Web Platform,Retail,118,100034.25
2025-10-01,2025,10,Europe,SME Business Loan,Mobile App,Mass Affluent,122,114642.44
2025-11-01,2025,11,Europe,SME Business Loan,Web Platform,Retail,125,112334.6
2025-12-01,2025,12,Europe,SME Business Loan,Web Platform,Retail,116,108146.82
2023-01-01,2023,1,Europe,Robo-Advisory Investment,Web Platform,Retail,448,93473.96
2023-02-01,2023,2,Europe,Robo-Advisory Investment,Mobile App,Private/HNW,384,77185.94
2023-03-01,2023,3,Europe,Robo-Advisory Investment,Web Platform,Mass Affluent,311,69856.24
2023-04-01,2023,4,Europe,Robo-Advisory Investment,Web Platform,Retail,281,57017.36
2023-05-01,2023,5,Europe,Robo-Advisory Investment,Web Platform,Retail,330,71495.76
2023-06-01,2023,6,Europe,Robo-Advisory Investment,Partner/Broker,Retail,363,76740.74
2023-07-01,2023,7,Europe,Robo-Advisory Investment,Mobile App,Retail,337,71012.25
2023-08-01,2023,8,Europe,Robo-Advisory Investment,Web Platform,SME,328,67380.75
2023-09-01,2023,9,Europe,Robo-Advisory Investment,Web Platform,SME,356,80839.25
2023-10-01,2023,10,Europe,Robo-Advisory Investment,Web Platform,SME,340,70863.13
2023-11-01,2023,11,Europe,Robo-Advisory Investment,Branch (Assisted),SME,316,64064.01
2023-12-01,2023,12,Europe,Robo-Advisory Investment,Partner/Broker,Private/HNW,362,75348.7
2024-01-01,2024,1,Europe,Robo-Advisory Investment,Web Platform,Mass Affluent,407,86573.09
2024-02-01,2024,2,Europe,Robo-Advisory Investment,Web Platform,Mass Affluent,470,100936.98
2024-03-01,2024,3,Europe,Robo-Advisory Investment,Mobile App,Retail,303,62203.5
2024-04-01,2024,4,Europe,Robo-Advisory Investment,Web Platform,Mass Affluent,365,74306.96
2024-05-01,2024,5,Europe,Robo-Advisory Investment,Mobile App,Retail,338,75609.37
2024-06-01,2024,6,Europe,Robo-Advisory Investment,Mobile App,Retail,357,77492.37
2024-07-01,2024,7,Europe,Robo-Advisory Investment,Partner/Broker,Mass Affluent,371,79795.69
2024-08-01,2024,8,Europe,Robo-Advisory Investment,Mobile App,SME,413,85968.19
2024-09-01,2024,9,Europe,Robo-Advisory Investment,Mobile App,SME,314,66140.01
2024-10-01,2024,10,Europe,Robo-Advisory Investment,Mobile App,Mass Affluent,340,68044.55
2024-11-01,2024,11,Europe,Robo-Advisory Investment,Mobile App,SME,378,76635.35
2024-12-01,2024,12,Europe,Robo-Advisory Investment,Mobile App,SME,296,62353.66
2025-01-01,2025,1,Europe,Robo-Advisory Investment,Mobile App,Retail,506,104421.66
2025-02-01,2025,2,Europe,Robo-Advisory Investment,Mobile App,Retail,437,92689.95
2025-03-01,2025,3,Europe,Robo-Advisory Investment,Partner/Broker,Retail,407,81156.61
2025-04-01,2025,4,Europe,Robo-Advisory Investment,Partner/Broker,Retail,378,77733.41
2025-05-01,2025,5,Europe,Robo-Advisory Investment,Branch (Assisted),Retail,349,73811.44
2025-06-01,2025,6,Europe,Robo-Advisory Investment,Mobile App,Retail,333,72942.71
2025-07-01,2025,7,Europe,Robo-Advisory Investment,Mobile App,Retail,370,79697.17
2025-08-01,2025,8,Europe,Robo-Advisory Investment,Mobile App,Private/HNW,367,74127.87
2025-09-01,2025,9,Europe,Robo-Advisory Investment,Partner/Broker,Retail,376,81006.29
2025-10-01,2025,10,Europe,Robo-Advisory Investment,Mobile App,Retail,424,89765.12
2025-11-01,2025,11,Europe,Robo-Advisory Investment,Branch (Assisted),Retail,412,90452.34
2025-12-01,2025,12,Europe,Robo-Advisory Investment,Web Platform,Retail,385,80444.08
2023-01-01,2023,1,Europe,Fixed Deposit / Savings Plan,Mobile App,SME,581,48779.73
2023-02-01,2023,2,Europe,Fixed Deposit / Savings Plan,Branch (Assisted),Mass Affluent,443,42613.01
2023-03-01,2023,3,Europe,Fixed Deposit / Savings Plan,Mobile App,Retail,544,52443.51
2023-04-01,2023,4,Europe,Fixed Deposit / Savings Plan,Mobile App,Mass Affluent,491,50632.48
2023-05-01,2023,5,Europe,Fixed Deposit / Savings Plan,Web Platform,SME,560,52469.9
2023-06-01,2023,6,Europe,Fixed Deposit / Savings Plan,Web Platform,Retail,596,59254.47
2023-07-01,2023,7,Europe,Fixed Deposit / Savings Plan,Mobile App,Mass Affluent,547,52558.41
2023-08-01,2023,8,Europe,Fixed Deposit / Savings Plan,Mobile App,Mass Affluent,581,56879.26
2023-09-01,2023,9,Europe,Fixed Deposit / Savings Plan,Mobile App,Retail,569,55124.51
2023-10-01,2023,10,Europe,Fixed Deposit / Savings Plan,Mobile App,Private/HNW,522,50326.11
2023-11-01,2023,11,Europe,Fixed Deposit / Savings Plan,Mobile App,Retail,752,72191.06
2023-12-01,2023,12,Europe,Fixed Deposit / Savings Plan,Branch (Assisted),Private/HNW,629,61461.37
2024-01-01,2024,1,Europe,Fixed Deposit / Savings Plan,Branch (Assisted),Retail,533,52694.88
2024-02-01,2024,2,Europe,Fixed Deposit / Savings Plan,Mobile App,SME,497,44278.76
2024-03-01,2024,3,Europe,Fixed Deposit / Savings Plan,Branch (Assisted),SME,614,59118.96
2024-04-01,2024,4,Europe,Fixed Deposit / Savings Plan,Web Platform,Retail,612,59180.47
2024-05-01,2024,5,Europe,Fixed Deposit / Savings Plan,Partner/Broker,Mass Affluent,745,73993.55
2024-06-01,2024,6,Europe,Fixed Deposit / Savings Plan,Mobile App,Mass Affluent,573,54928.85
2024-07-01,2024,7,Europe,Fixed Deposit / Savings Plan,Mobile App,Retail,600,59157.07
2024-08-01,2024,8,Europe,Fixed Deposit / Savings Plan,Partner/Broker,Retail,571,49117.67
2024-09-01,2024,9,Europe,Fixed Deposit / Savings Plan,Mobile App,Retail,743,73480.07
2024-10-01,2024,10,Europe,Fixed Deposit / Savings Plan,Mobile App,Retail,578,54499.82
2024-11-01,2024,11,Europe,Fixed Deposit / Savings Plan,Branch (Assisted),Retail,652,62424.79
2024-12-01,2024,12,Europe,Fixed Deposit / Savings Plan,Partner/Broker,Retail,737,70342.85
2025-01-01,2025,1,Europe,Fixed Deposit / Savings Plan,Mobile App,Retail,555,54314.41
2025-02-01,2025,2,Europe,Fixed Deposit / Savings Plan,Partner/Broker,Retail,603,55413.62
2025-03-01,2025,3,Europe,Fixed Deposit / Savings Plan,Mobile App,SME,609,60059.24
2025-04-01,2025,4,Europe,Fixed Deposit / Savings Plan,Mobile App,Retail,700,64302.28
2025-05-01,2025,5,Europe,Fixed Deposit / Savings Plan,Web Platform,Retail,618,60100.37
2025-06-01,2025,6,Europe,Fixed Deposit / Savings Plan,Web Platform,Retail,673,62097.38
2025-07-01,2025,7,Europe,Fixed Deposit / Savings Plan,Web Platform,Retail,558,48394.44
2025-08-01,2025,8,Europe,Fixed Deposit / Savings Plan,Mobile App,SME,680,64656.16
2025-09-01,2025,9,Europe,Fixed Deposit / Savings Plan,Mobile App,Retail,663,57498.81
2025-10-01,2025,10,Europe,Fixed Deposit / Savings Plan,Partner/Broker,Mass Affluent,725,68850.9
2025-11-01,2025,11,Europe,Fixed Deposit / Savings Plan,Partner/Broker,Mass Affluent,680,65630.6
2025-12-01,2025,12,Europe,Fixed Deposit / Savings Plan,Web Platform,Retail,709,65767.89
2023-01-01,2023,1,Europe,Wealth Management (HNW),Web Platform,Retail,16,56601.01
2023-02-01,2023,2,Europe,Wealth Management (HNW),Partner/Broker,Retail,14,48765.55
2023-03-01,2023,3,Europe,Wealth Management (HNW),Web Platform,SME,14,47867.43
2023-04-01,2023,4,Europe,Wealth Management (HNW),Web Platform,Retail,16,52716.93
2023-05-01,2023,5,Europe,Wealth Management (HNW),Mobile App,Mass Affluent,15,50574.56
2023-06-01,2023,6,Europe,Wealth Management (HNW),Web Platform,Retail,16,56507.16
2023-07-01,2023,7,Europe,Wealth Management (HNW),Branch (Assisted),Retail,14,49539.75
2023-08-01,2023,8,Europe,Wealth Management (HNW),Web Platform,Retail,14,48192.36
2023-09-01,2023,9,Europe,Wealth Management (HNW),Partner/Broker,Retail,13,44426.11
2023-10-01,2023,10,Europe,Wealth Management (HNW),Mobile App,SME,15,48407.34
2023-11-01,2023,11,Europe,Wealth Management (HNW),Mobile App,SME,15,49961.51
2023-12-01,2023,12,Europe,Wealth Management (HNW),Web Platform,SME,14,43364.93
2024-01-01,2024,1,Europe,Wealth Management (HNW),Mobile App,Retail,14,45401.02
2024-02-01,2024,2,Europe,Wealth Management (HNW),Partner/Broker,Private/HNW,16,54782.78
2024-03-01,2024,3,Europe,Wealth Management (HNW),Mobile App,Mass Affluent,16,53113.79
2024-04-01,2024,4,Europe,Wealth Management (HNW),Branch (Assisted),Retail,15,53483.7
2024-05-01,2024,5,Europe,Wealth Management (HNW),Partner/Broker,SME,13,45113.16
2024-06-01,2024,6,Europe,Wealth Management (HNW),Partner/Broker,Retail,12,40835.86
2024-07-01,2024,7,Europe,Wealth Management (HNW),Mobile App,Retail,15,51404.23
2024-08-01,2024,8,Europe,Wealth Management (HNW),Mobile App,Retail,17,57869.94
2024-09-01,2024,9,Europe,Wealth Management (HNW),Mobile App,Retail,16,54448.81
2024-10-01,2024,10,Europe,Wealth Management (HNW),Mobile App,Private/HNW,18,56846.7
2024-11-01,2024,11,Europe,Wealth Management (HNW),Mobile App,Retail,16,51508.95
2024-12-01,2024,12,Europe,Wealth Management (HNW),Mobile App,Retail,16,52243.47
2025-01-01,2025,1,Europe,Wealth Management (HNW),Partner/Broker,Retail,15,51570.29
2025-02-01,2025,2,Europe,Wealth Management (HNW),Web Platform,Retail,18,61970.77
2025-03-01,2025,3,Europe,Wealth Management (HNW),Branch (Assisted),Retail,17,55289.44
2025-04-01,2025,4,Europe,Wealth Management (HNW),Branch (Assisted),Retail,16,56277.82
2025-05-01,2025,5,Europe,Wealth Management (HNW),Mobile App,Retail,16,53247.86
2025-06-01,2025,6,Europe,Wealth Management (HNW),Mobile App,SME,17,58595.17
2025-07-01,2025,7,Europe,Wealth Management (HNW),Branch (Assisted),Retail,16,54257.57
2025-08-01,2025,8,Europe,Wealth Management (HNW),Web Platform,Private/HNW,15,53037.77
2025-09-01,2025,9,Europe,Wealth Management (HNW),Web Platform,Retail,16,56080.42
2025-10-01,2025,10,Europe,Wealth Management (HNW),Mobile App,Mass Affluent,18,57427.22
2025-11-01,2025,11,Europe,Wealth Management (HNW),Partner/Broker,Retail,17,57123.02
2025-12-01,2025,12,Europe,Wealth Management (HNW),Web Platform,Private/HNW,19,65636.21
2023-01-01,2023,1,MENA,Personal Loan,Web Platform,Retail,217,29695.96
2023-02-01,2023,2,MENA,Personal Loan,Web Platform,Retail,251,38933.38
2023-03-01,2023,3,MENA,Personal Loan,Mobile App,SME,294,41846.08
2023-04-01,2023,4,MENA,Personal Loan,Partner/Broker,SME,299,42131.76
2023-05-01,2023,5,MENA,Personal Loan,Mobile App,Retail,283,40075.24
2023-06-01,2023,6,MENA,Personal Loan,Web Platform,Retail,238,35849.36
2023-07-01,2023,7,MENA,Personal Loan,Partner/Broker,SME,209,29809.42
2023-08-01,2023,8,MENA,Personal Loan,Web Platform,Retail,226,33176.56
2023-09-01,2023,9,MENA,Personal Loan,Partner/Broker,SME,254,36006.03
2023-10-01,2023,10,MENA,Personal Loan,Web Platform,Retail,241,35599.19
2023-11-01,2023,11,MENA,Personal Loan,Partner/Broker,Retail,290,42201.22
2023-12-01,2023,12,MENA,Personal Loan,Mobile App,Retail,285,41165.59
2024-01-01,2024,1,MENA,Personal Loan,Partner/Broker,Retail,313,45759.11
2024-02-01,2024,2,MENA,Personal Loan,Mobile App,SME,319,46023.78
2024-03-01,2024,3,MENA,Personal Loan,Partner/Broker,Retail,494,69412.25
2024-04-01,2024,4,MENA,Personal Loan,Mobile App,Retail,431,60346.09
2024-05-01,2024,5,MENA,Personal Loan,Mobile App,Retail,278,37952.47
2024-06-01,2024,6,MENA,Personal Loan,Mobile App,Mass Affluent,323,48642.99
2024-07-01,2024,7,MENA,Personal Loan,Branch (Assisted),Retail,314,47017.09
2024-08-01,2024,8,MENA,Personal Loan,Branch (Assisted),Retail,342,49143.93
2024-09-01,2024,9,MENA,Personal Loan,Mobile App,SME,327,48710.79
2024-10-01,2024,10,MENA,Personal Loan,Mobile App,Retail,411,63533.52
2024-11-01,2024,11,MENA,Personal Loan,Mobile App,SME,346,49329.23
2024-12-01,2024,12,MENA,Personal Loan,Mobile App,Retail,443,70075.88
2025-01-01,2025,1,MENA,Personal Loan,Web Platform,Mass Affluent,373,54854.88
2025-02-01,2025,2,MENA,Personal Loan,Partner/Broker,SME,380,50609.46
2025-03-01,2025,3,MENA,Personal Loan,Mobile App,SME,481,70315.99
2025-04-01,2025,4,MENA,Personal Loan,Mobile App,Retail,456,66837.28
2025-05-01,2025,5,MENA,Personal Loan,Web Platform,Retail,364,55588.55
2025-06-01,2025,6,MENA,Personal Loan,Partner/Broker,Retail,395,57978.03
2025-07-01,2025,7,MENA,Personal Loan,Mobile App,Retail,361,48778.33
2025-08-01,2025,8,MENA,Personal Loan,Web Platform,Retail,346,48636.71
2025-09-01,2025,9,MENA,Personal Loan,Web Platform,SME,433,62634.64
2025-10-01,2025,10,MENA,Personal Loan,Mobile App,Retail,470,69656.38
2025-11-01,2025,11,MENA,Personal Loan,Mobile App,Retail,498,74966.61
2025-12-01,2025,12,MENA,Personal Loan,Mobile App,Retail,364,52279.08
2023-01-01,2023,1,MENA,Credit Card,Mobile App,Mass Affluent,486,30818.15
2023-02-01,2023,2,MENA,Credit Card,Partner/Broker,Retail,436,29078.31
2023-03-01,2023,3,MENA,Credit Card,Mobile App,Retail,509,32768.33
2023-04-01,2023,4,MENA,Credit Card,Mobile App,Retail,585,38795.62
2023-05-01,2023,5,MENA,Credit Card,Web Platform,Retail,680,42924.44
2023-06-01,2023,6,MENA,Credit Card,Partner/Broker,SME,540,34475.84
2023-07-01,2023,7,MENA,Credit Card,Mobile App,Mass Affluent,579,39534.17
2023-08-01,2023,8,MENA,Credit Card,Mobile App,Retail,594,38116.04
2023-09-01,2023,9,MENA,Credit Card,Web Platform,Retail,639,41871.08
2023-10-01,2023,10,MENA,Credit Card,Partner/Broker,Retail,599,37910.72
2023-11-01,2023,11,MENA,Credit Card,Web Platform,Mass Affluent,882,60053.25
2023-12-01,2023,12,MENA,Credit Card,Branch (Assisted),SME,838,52580.2
2024-01-01,2024,1,MENA,Credit Card,Partner/Broker,SME,638,39169.73
2024-02-01,2024,2,MENA,Credit Card,Mobile App,Retail,692,45177.26
2024-03-01,2024,3,MENA,Credit Card,Mobile App,Retail,651,40319.23
2024-04-01,2024,4,MENA,Credit Card,Partner/Broker,Retail,622,40161.85
2024-05-01,2024,5,MENA,Credit Card,Partner/Broker,Retail,747,49893.47
2024-06-01,2024,6,MENA,Credit Card,Mobile App,Retail,803,48881.32
2024-07-01,2024,7,MENA,Credit Card,Partner/Broker,Retail,696,45450.06
2024-08-01,2024,8,MENA,Credit Card,Partner/Broker,Retail,898,59196.7
2024-09-01,2024,9,MENA,Credit Card,Branch (Assisted),Retail,775,49950.88
2024-10-01,2024,10,MENA,Credit Card,Branch (Assisted),Retail,757,50230.74
2024-11-01,2024,11,MENA,Credit Card,Web Platform,SME,1087,73471.86
2024-12-01,2024,12,MENA,Credit Card,Mobile App,Mass Affluent,1118,68574.85
2025-01-01,2025,1,MENA,Credit Card,Mobile App,Retail,629,40312.48
2025-02-01,2025,2,MENA,Credit Card,Web Platform,SME,722,44976.28
2025-03-01,2025,3,MENA,Credit Card,Web Platform,Retail,877,57598.74
2025-04-01,2025,4,MENA,Credit Card,Web Platform,Retail,861,53391.99
2025-05-01,2025,5,MENA,Credit Card,Branch (Assisted),Retail,811,50064.0
2025-06-01,2025,6,MENA,Credit Card,Branch (Assisted),Mass Affluent,973,63402.97
2025-07-01,2025,7,MENA,Credit Card,Mobile App,Retail,902,60325.49
2025-08-01,2025,8,MENA,Credit Card,Web Platform,SME,1007,61540.5
2025-09-01,2025,9,MENA,Credit Card,Mobile App,Retail,1090,66609.85
2025-10-01,2025,10,MENA,Credit Card,Web Platform,Retail,977,65977.74
2025-11-01,2025,11,MENA,Credit Card,Mobile App,SME,1310,86782.18
2025-12-01,2025,12,MENA,Credit Card,Mobile App,Mass Affluent,1715,111112.08
2023-01-01,2023,1,MENA,Mortgage,Branch (Assisted),SME,29,34273.48
2023-02-01,2023,2,MENA,Mortgage,Mobile App,SME,33,41339.61
2023-03-01,2023,3,MENA,Mortgage,Mobile App,Retail,32,34998.01
2023-04-01,2023,4,MENA,Mortgage,Branch (Assisted),Retail,45,58114.03
2023-05-01,2023,5,MENA,Mortgage,Web Platform,Mass Affluent,55,70132.66
2023-06-01,2023,6,MENA,Mortgage,Mobile App,Retail,50,63911.85
2023-07-01,2023,7,MENA,Mortgage,Web Platform,SME,37,45605.64
2023-08-01,2023,8,MENA,Mortgage,Web Platform,Retail,40,53183.38
2023-09-01,2023,9,MENA,Mortgage,Partner/Broker,Mass Affluent,40,51014.3
2023-10-01,2023,10,MENA,Mortgage,Web Platform,Retail,35,40500.42
2023-11-01,2023,11,MENA,Mortgage,Web Platform,Retail,48,60497.61
2023-12-01,2023,12,MENA,Mortgage,Mobile App,Retail,32,40260.49
2024-01-01,2024,1,MENA,Mortgage,Partner/Broker,SME,32,41134.18
2024-02-01,2024,2,MENA,Mortgage,Branch (Assisted),SME,40,52097.72
2024-03-01,2024,3,MENA,Mortgage,Web Platform,Private/HNW,49,60949.95
2024-04-01,2024,4,MENA,Mortgage,Partner/Broker,Retail,60,76955.96
2024-05-01,2024,5,MENA,Mortgage,Branch (Assisted),SME,63,81364.01
2024-06-01,2024,6,MENA,Mortgage,Web Platform,Retail,67,85592.41
2024-07-01,2024,7,MENA,Mortgage,Mobile App,Retail,48,60973.66
2024-08-01,2024,8,MENA,Mortgage,Web Platform,Retail,46,52551.33
2024-09-01,2024,9,MENA,Mortgage,Partner/Broker,SME,52,65161.25
2024-10-01,2024,10,MENA,Mortgage,Mobile App,Mass Affluent,55,68861.46
2024-11-01,2024,11,MENA,Mortgage,Web Platform,Retail,49,64838.93
2024-12-01,2024,12,MENA,Mortgage,Mobile App,Mass Affluent,43,49236.24
2025-01-01,2025,1,MENA,Mortgage,Web Platform,Retail,44,54360.97
2025-02-01,2025,2,MENA,Mortgage,Mobile App,Mass Affluent,56,72908.08
2025-03-01,2025,3,MENA,Mortgage,Web Platform,SME,59,68908.25
2025-04-01,2025,4,MENA,Mortgage,Partner/Broker,Retail,80,102112.09
2025-05-01,2025,5,MENA,Mortgage,Mobile App,Retail,75,104716.16
2025-06-01,2025,6,MENA,Mortgage,Mobile App,Retail,77,101959.93
2025-07-01,2025,7,MENA,Mortgage,Partner/Broker,Retail,69,87528.99
2025-08-01,2025,8,MENA,Mortgage,Partner/Broker,Mass Affluent,58,69223.72
2025-09-01,2025,9,MENA,Mortgage,Web Platform,Private/HNW,69,84620.36
2025-10-01,2025,10,MENA,Mortgage,Web Platform,Retail,70,88031.8
2025-11-01,2025,11,MENA,Mortgage,Partner/Broker,SME,65,84259.1
2025-12-01,2025,12,MENA,Mortgage,Partner/Broker,Retail,53,60912.08
2023-01-01,2023,1,MENA,SME Business Loan,Web Platform,Mass Affluent,51,44617.29
2023-02-01,2023,2,MENA,SME Business Loan,Mobile App,Retail,58,52012.53
2023-03-01,2023,3,MENA,SME Business Loan,Mobile App,Retail,53,47827.76
2023-04-01,2023,4,MENA,SME Business Loan,Mobile App,Retail,51,44514.85
2023-05-01,2023,5,MENA,SME Business Loan,Web Platform,Retail,65,58588.56
2023-06-01,2023,6,MENA,SME Business Loan,Mobile App,Retail,65,59437.15
2023-07-01,2023,7,MENA,SME Business Loan,Mobile App,Retail,51,44837.66
2023-08-01,2023,8,MENA,SME Business Loan,Web Platform,Retail,60,50008.11
2023-09-01,2023,9,MENA,SME Business Loan,Partner/Broker,Mass Affluent,51,42323.66
2023-10-01,2023,10,MENA,SME Business Loan,Partner/Broker,SME,63,57406.87
2023-11-01,2023,11,MENA,SME Business Loan,Web Platform,Retail,73,67394.97
2023-12-01,2023,12,MENA,SME Business Loan,Web Platform,Retail,75,69362.28
2024-01-01,2024,1,MENA,SME Business Loan,Web Platform,Retail,56,49259.11
2024-02-01,2024,2,MENA,SME Business Loan,Mobile App,Retail,74,66025.16
2024-03-01,2024,3,MENA,SME Business Loan,Mobile App,SME,79,70436.87
2024-04-01,2024,4,MENA,SME Business Loan,Web Platform,SME,75,66791.02
2024-05-01,2024,5,MENA,SME Business Loan,Partner/Broker,SME,75,63886.56
2024-06-01,2024,6,MENA,SME Business Loan,Web Platform,SME,79,71288.36
2024-07-01,2024,7,MENA,SME Business Loan,Web Platform,Mass Affluent,60,56768.89
2024-08-01,2024,8,MENA,SME Business Loan,Mobile App,SME,74,66609.65
2024-09-01,2024,9,MENA,SME Business Loan,Branch (Assisted),Mass Affluent,84,75149.43
2024-10-01,2024,10,MENA,SME Business Loan,Partner/Broker,Retail,91,83376.58
2024-11-01,2024,11,MENA,SME Business Loan,Mobile App,Retail,87,78073.11
2024-12-01,2024,12,MENA,SME Business Loan,Mobile App,Retail,88,76274.57
2025-01-01,2025,1,MENA,SME Business Loan,Mobile App,SME,77,66564.02
2025-02-01,2025,2,MENA,SME Business Loan,Web Platform,Retail,80,73465.9
2025-03-01,2025,3,MENA,SME Business Loan,Partner/Broker,Retail,81,69250.6
2025-04-01,2025,4,MENA,SME Business Loan,Partner/Broker,SME,95,79089.39
2025-05-01,2025,5,MENA,SME Business Loan,Branch (Assisted),Retail,99,84007.07
2025-06-01,2025,6,MENA,SME Business Loan,Web Platform,Retail,95,91935.48
2025-07-01,2025,7,MENA,SME Business Loan,Partner/Broker,Retail,92,77913.55
2025-08-01,2025,8,MENA,SME Business Loan,Mobile App,Retail,109,93824.76
2025-09-01,2025,9,MENA,SME Business Loan,Web Platform,SME,85,77668.67
2025-10-01,2025,10,MENA,SME Business Loan,Mobile App,Retail,100,93949.66
2025-11-01,2025,11,MENA,SME Business Loan,Mobile App,Private/HNW,116,102109.83
2025-12-01,2025,12,MENA,SME Business Loan,Web Platform,SME,109,95831.65
2023-01-01,2023,1,MENA,Robo-Advisory Investment,Web Platform,Mass Affluent,222,44519.36
2023-02-01,2023,2,MENA,Robo-Advisory Investment,Mobile App,Private/HNW,208,42033.63
